#Denominación,Prog.,Econ.,Fecha,NIF,Nombre empresa,Descripción,Importe,Descuentos
Mantenimiento del sistema integrado de biblioteca,3321,21602,21/04/2016,B28078020,"3M ESPAÑA.,S.L.","SERVICIO MANTENIMIENTO SISTEMA ANTIHURTO, APROBADA CON DECRETO 777/2016 - NUMERO DE FAC.: 4011089 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 11/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 858/2016",1129.88,0
Trienios,3343,12006,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,72.32,111293.51
Trienios,3343,12006,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,71.64,73185.05
Trienios,3343,12006,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,72.32,107558.1
Trienios,3343,12006,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,72.32,109671.26
Trienios,3343,12006,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,50.62,108610.52
Trienios,3343,12006,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,50.62,114215.95
Trienios,3343,12006,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,72.32,116863.1
Trienios,3343,12006,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,72.32,115894.54
Trienios,3343,12006,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,59.89,74089.09
Trienios,3343,12006,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,72.32,129688.08
Complemento de destino,3343,12100,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,308.07,105738.44
Complemento de destino,3343,12100,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,308.07,163439.38
Complemento de destino,3343,12100,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,308.07,117085.4
Complemento de destino,3343,12100,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,308.07,110356.38
Complemento de destino,3343,12100,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,308.07,111293.51
Complemento de destino,3343,12100,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,308.07,73185.05
Complemento de destino,3343,12100,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,308.07,107558.1
Complemento de destino,3343,12100,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,308.07,109671.26
Complemento de destino,3343,12100,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,215.65,108610.52
Complemento de destino,3343,12100,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,215.65,114215.95
Complemento de destino,3343,12100,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,290.27,116863.1
Complemento de destino,3343,12100,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,287.52,115894.54
Complemento de destino,3343,12100,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,379.39,74089.09
Complemento de destino,3343,12100,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,287.52,129688.08
Complemento específico,3343,12101,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,619.86,105738.44
Complemento específico,3343,12101,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,619.86,163439.38
Complemento específico,3343,12101,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,619.86,117085.4
Complemento específico,3343,12101,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,619.86,110356.38
Complemento específico,3343,12101,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,619.86,111293.51
Complemento específico,3343,12101,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,619.86,73185.05
Complemento específico,3343,12101,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,619.86,107558.1
Complemento específico,3343,12101,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,619.86,109671.26
Complemento específico,3343,12101,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,433.9,108610.52
Complemento específico,3343,12101,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,433.9,114215.95
Complemento específico,3343,12101,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,584.03,116863.1
Complemento específico,3343,12101,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,578.52,115894.54
Complemento específico,3343,12101,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,483.57,74089.09
Complemento específico,3343,12101,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,578.52,129688.08
Retribuciones básicas,340,11000,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,2164.29,105738.44
Retribuciones básicas,340,11000,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,2164.29,163439.38
Retribuciones básicas,340,11000,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,2164.29,117085.4
Retribuciones básicas,340,11000,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,2164.29,110356.38
Retribuciones básicas,340,11000,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,2164.29,111293.51
Retribuciones básicas,340,11000,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,1904.58,73185.05
Retribuciones básicas,340,11000,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,2164.29,107558.1
Retribuciones básicas,340,11000,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,2164.29,109671.26
Retribuciones básicas,340,11000,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,2164.29,108610.52
Retribuciones básicas,340,11000,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,2164.29,114215.95
Retribuciones básicas,340,11000,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,2164.29,116863.1
Retribuciones básicas,340,11000,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,2164.29,115894.54
Retribuciones básicas,340,11000,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,1904.58,74089.09
Retribuciones básicas,340,11000,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,2164.29,129688.08
Sueldos del Grupo C2,340,12004,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,948.23,105738.44
Sueldos del Grupo C2,340,12004,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,1231.93,163439.38
Sueldos del Grupo C2,340,12004,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,1210.5,117085.4
Sueldos del Grupo C2,340,12004,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,1129.8,110356.38
Sueldos del Grupo C2,340,12004,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,1228.58,111293.51
Sueldos del Grupo C2,340,12004,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,899.6,73185.05
Sueldos del Grupo C2,340,12004,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,1210.5,107558.1
Sueldos del Grupo C2,340,12004,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,807,109671.26
Sueldos del Grupo C2,340,12004,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,605.25,108610.52
Sueldos del Grupo C2,340,12004,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,605.25,114215.95
Sueldos del Grupo C2,340,12004,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,605.25,116863.1
Sueldos del Grupo C2,340,12004,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,907.88,115894.54
Sueldos del Grupo C2,340,12004,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,1199.46,74089.09
Sueldos del Grupo C2,340,12004,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,1210.5,129688.08
Trienios,340,12006,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,127.89,105738.44
Trienios,340,12006,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,143.56,163439.38
Trienios,340,12006,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,161.64,117085.4
Trienios,340,12006,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,109.52,110356.38
Trienios,340,12006,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,143.56,111293.51
Trienios,340,12006,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,126.52,73185.05
Trienios,340,12006,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,143.56,107558.1
Trienios,340,12006,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,95.35,109671.26
Trienios,340,12006,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,71.24,108610.52
Trienios,340,12006,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,71.24,114215.95
Trienios,340,12006,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,71.24,116863.1
Trienios,340,12006,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,107.4,115894.54
Trienios,340,12006,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,135.47,74089.09
Trienios,340,12006,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,143.56,129688.08
Complemento de destino,340,12100,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,881.38,105738.44
Complemento de destino,340,12100,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,1014.88,163439.38
Complemento de destino,340,12100,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,1014.88,117085.4
Complemento de destino,340,12100,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,855.18,110356.38
Complemento de destino,340,12100,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,1014.88,111293.51
Complemento de destino,340,12100,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,860.84,73185.05
Complemento de destino,340,12100,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,1014.88,107558.1
Complemento de destino,340,12100,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,809.5,109671.26
Complemento de destino,340,12100,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,706.81,108610.52
Complemento de destino,340,12100,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,706.81,114215.95
Complemento de destino,340,12100,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,706.81,116863.1
Complemento de destino,340,12100,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,860.85,115894.54
Complemento de destino,340,12100,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,1014.88,74089.09
Complemento de destino,340,12100,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,1014.88,129688.08
Complemento específico,340,12101,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,2145.56,105738.44
Complemento específico,340,12101,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,2414.17,163439.38
Complemento específico,340,12101,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,2414.17,117085.4
Complemento específico,340,12101,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,1928.73,110356.38
Complemento específico,340,12101,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,2414.17,111293.51
Complemento específico,340,12101,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,2104.24,73185.05
Complemento específico,340,12101,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,2414.17,107558.1
Complemento específico,340,12101,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,2410,109671.26
Complemento específico,340,12101,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,1995.74,108610.52
Complemento específico,340,12101,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,1995.81,114215.95
Complemento específico,340,12101,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,1995.74,116863.1
Complemento específico,340,12101,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,2204.99,115894.54
Complemento específico,340,12101,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,2414.17,74089.09
Complemento específico,340,12101,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,2414.17,129688.08
Salario base,340,13000,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,1517.06,105738.44
Salario base,340,13000,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,1997.16,163439.38
Salario base,340,13000,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,2606.51,117085.4
Salario base,340,13000,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,2624.98,110356.38
Salario base,340,13000,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,2624.98,111293.51
Salario base,340,13000,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,2625.71,73185.05
Salario base,340,13000,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,1107.92,107558.1
Salario base,340,13000,01/07/2016,W00000081,VARIOS,PAGO LIGUIDACIONES  DE LOS TRABAJADORES DE ESTE AYUNTAMIENTO QUE FINALIZAN EN EL MES DE JUNIO DECRETO 1694/2016,4081.17,3546.57
Salario base,340,13000,05/08/2016,W00000081,VARIOS,RETRIBUCIONES JULIO 2016-  LIQUIDACION YOLANDA AGUDO RUEDA SEGUN Dº 2008/2016,52.32,207.51
Salario base,340,13000,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,553.96,109671.26
Salario base,340,13000,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,553.96,108610.52
Salario base,340,13000,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,1969.35,116863.1
Salario base,340,13000,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,1439.5,115894.54
Salario base,340,13000,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,1133.57,74089.09
Salario base,340,13000,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,1791.48,129688.08
Otras remuneraciones,340,13002,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,4356.96,105738.44
Otras remuneraciones,340,13002,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,4827.94,163439.38
Otras remuneraciones,340,13002,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,5514.21,117085.4
Otras remuneraciones,340,13002,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,5539.44,110356.38
Otras remuneraciones,340,13002,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,5539.44,111293.51
Otras remuneraciones,340,13002,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,5544,73185.05
Otras remuneraciones,340,13002,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,1622.32,107558.1
Otras remuneraciones,340,13002,01/07/2016,W00000081,VARIOS,PAGO LIGUIDACIONES  DE LOS TRABAJADORES DE ESTE AYUNTAMIENTO QUE FINALIZAN EN EL MES DE JUNIO DECRETO 1694/2016,3944.47,3546.57
Otras remuneraciones,340,13002,05/08/2016,W00000081,VARIOS,RETRIBUCIONES JULIO 2016-  LIQUIDACION YOLANDA AGUDO RUEDA SEGUN Dº 2008/2016,665.29,207.51
Otras remuneraciones,340,13002,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,946.91,109671.26
Otras remuneraciones,340,13002,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,946.91,108610.52
Otras remuneraciones,340,13002,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,115.84,114215.95
Otras remuneraciones,340,13002,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,4651.5,116863.1
Otras remuneraciones,340,13002,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,4147.42,115894.54
Otras remuneraciones,340,13002,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,3134.57,74089.09
Otras remuneraciones,340,13002,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,5066.63,129688.08
Indemnizaciones y salarios de tramitación (deportes),340,13003,12/08/2016,W00000081,VARIOS,ABONO INDEMNIZACIONES  AGOSTOSEGUN Dº 2052/2016,30569.46,0
Indemnizaciones y salarios de tramitación (deportes),340,13003,30/08/2016,W00000081,VARIOS,SALARIOS DE TRAMITACIÓN Cª DEPORTES - SEGUN Dº 1966/2016,33711.63,2814.98
Trienios,340,13006,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,162.72,105738.44
Trienios,340,13006,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,216.19,163439.38
Trienios,340,13006,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,287.41,117085.4
Trienios,340,13006,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,307.76,110356.38
Trienios,340,13006,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,307.76,111293.51
Trienios,340,13006,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,305.89,73185.05
Trienios,340,13006,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,108.88,107558.1
Trienios,340,13006,01/07/2016,W00000081,VARIOS,PAGO LIGUIDACIONES  DE LOS TRABAJADORES DE ESTE AYUNTAMIENTO QUE FINALIZAN EN EL MES DE JUNIO DECRETO 1694/2016,198.88,3546.57
Trienios,340,13006,05/08/2016,W00000081,VARIOS,RETRIBUCIONES JULIO 2016-  LIQUIDACION YOLANDA AGUDO RUEDA SEGUN Dº 2008/2016,5.14,207.51
Trienios,340,13006,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,68.05,109671.26
Trienios,340,13006,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,68.05,108610.52
Trienios,340,13006,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,174.2,116863.1
Trienios,340,13006,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,182.68,115894.54
Trienios,340,13006,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,139.77,74089.09
Trienios,340,13006,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,198.88,129688.08
Salario base,340,13100,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,14189.96,105738.44
Salario base,340,13100,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,14440.7,163439.38
Salario base,340,13100,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,14466.41,117085.4
Salario base,340,13100,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,14304.24,110356.38
Salario base,340,13100,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,18046.54,111293.51
Salario base,340,13100,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,7689.8,73185.05
Salario base,340,13100,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,4031.59,107558.1
Salario base,340,13100,01/07/2016,W00000081,VARIOS,PAGO LIGUIDACIONES  DE LOS TRABAJADORES DE ESTE AYUNTAMIENTO QUE FINALIZAN EN EL MES DE JUNIO DECRETO 1694/2016,12310.9,3546.57
Salario base,340,13100,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,4031.59,109671.26
Salario base,340,13100,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,4706.81,108610.52
Salario base,340,13100,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,13895.03,114215.95
Salario base,340,13100,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,16549.83,116863.1
Salario base,340,13100,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,16160.72,115894.54
Salario base,340,13100,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,11727.97,74089.09
Salario base,340,13100,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,16364.59,129688.08
Otras remuneraciones,340,13102,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,11311.58,105738.44
Otras remuneraciones,340,13102,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,11268.71,163439.38
Otras remuneraciones,340,13102,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,11268.71,117085.4
Otras remuneraciones,340,13102,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,11268.71,110356.38
Otras remuneraciones,340,13102,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,12918.47,111293.51
Otras remuneraciones,340,13102,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,11397.29,73185.05
Otras remuneraciones,340,13102,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,6055.15,107558.1
Otras remuneraciones,340,13102,01/07/2016,W00000081,VARIOS,PAGO LIGUIDACIONES  DE LOS TRABAJADORES DE ESTE AYUNTAMIENTO QUE FINALIZAN EN EL MES DE JUNIO DECRETO 1694/2016,9420.72,3546.57
Otras remuneraciones,340,13102,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,6055.15,109671.26
Otras remuneraciones,340,13102,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,6055.15,108610.52
Otras remuneraciones,340,13102,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,7605.97,114215.95
Otras remuneraciones,340,13102,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,13912.73,116863.1
Otras remuneraciones,340,13102,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,14033,115894.54
Otras remuneraciones,340,13102,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,9887.75,74089.09
Otras remuneraciones,340,13102,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,13820.86,129688.08
Trienios,340,13106,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,334.98,105738.44
Trienios,340,13106,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,334.98,163439.38
Trienios,340,13106,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,334.98,117085.4
Trienios,340,13106,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,334.98,110356.38
